StartDate,EndDate,ANONYMIZED_1,ANONYMIZED_2,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ANONYMIZED_3,ANONYMIZED_4,ANONYMIZED_5,ANONYMIZED_6,ANONYMIZED_7,ANONYMIZED_8,DistributionChannel,UserLanguage,Q2_1,PID,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q80,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q47,Iroh_Code,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q81,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q75,Q83,Q85,Q72,Q73,Q82,SC0,ANONYMIZED_9,ANONYMIZED_10,AttentionCheck
19/06/2021 23:09,19/06/2021 23:30,ANONYMIZED,ANONYMIZED,100,1208,TRUE,19/06/2021 23:30,R_3QLfh6l9P5U7dtx,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,1,Aang,I do not know the answer to this question.,"They are elected by a powerful council, consisting of representatives from the four Nations.",I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,0,0,61.483,0,The nephew sees a bright light and believes it comes from the Avatar and demands to seek it while Iroh questions this and continues playing his game.,6,3,3,3,2,5,0,0,86.581,0,7,1,2,1,1,7,0,0,104.589,0,6,3,2,2,1,5,"Based on the three scenes, he seems wiser than he lets on (esp. from the last scene). He seems to not align with his nephews search but seems to help indirectly, ie telling to relax. ",1,3.528,3.528,61.262,1,Katara calms Aang down by sympathizing with him realizing he's the last airbender and promises to keep him safe.,2,6,1,6,1,1,2.734,2.734,90.636,1,2,6,1,6,1,1,2.676,2.676,103.548,1,1,7,1,7,3,1,"I think that Katara is fairly wise, she is able to detect when Aang is feeling bad and supports him through it.",19,Female,,,Possibly how biases may impact how someone interprets the actions behind each character. Ie those unfamiliar with the show are most likely to have unbiased views on the character actions while those who know Avatar well will interpret them differently based on what they know about the character.,1,ANONYMIZED,ANONYMIZED,1
19/06/2021 23:53,20/06/2021 00:09,ANONYMIZED,ANONYMIZED,100,914,TRUE,20/06/2021 00:09,R_ONMva7x47MJRd9D,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,7,2,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"he is gentle, kind and wise","fierce, determined and strong",1.671,1.671,62.384,1,zuko sees the light that comes out of the iceberg when aang is freed and he debates with his uncle over going to investigate and it being the actual avatar,1,1,1,7,1,4,2.285,2.285,92.748,1,7,1,1,1,1,7,2.273,2.273,112.51,1,6,1,1,1,1,7,he's wise because he can handle the situations but he's still very lazy in all of them,1,3.576,3.576,61.31,1,aang finds out every airbender's gone and katara calms him down,1,7,1,7,4,1,8.988,8.988,97.559,1,1,7,1,7,1,1,2.901,2.901,145.422,1,1,7,1,7,7,1,wise because she helps aang in every situation in the best way possible. she helps him keep his waterbender and he tells him that the forest will be okay in the end,22,Male,none at the moment,none,none. you'll see that everyone loves katara and iroh,3,ANONYMIZED,ANONYMIZED,1
20/06/2021 00:18,20/06/2021 00:33,ANONYMIZED,ANONYMIZED,100,898,TRUE,20/06/2021 00:33,R_21dIQ1SARyy0EDO,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,4,3,Aang,Katara and Sokka,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,Mark the arrival of a new Avatar,,Independent and also very nice.,2.842,2.842,61.357,1,The fire bender thought the light he saw was the Avatar and Iroh was telling him to be relaxed in case it wasn't the avatar.,1,4,1,7,1,4,2.252,2.252,93.39,1,1,2,1,4,1,7,2.212,2.212,111.969,1,4,4,1,6,1,5,"I think Iroh is wise. Though he gives off lazy vibes, in the end of the day he's just trying to relax his nephew and get him to look at the bigger picture or avoid his nephew to feel failed.",1,3.063,3.063,61.573,1,Aang was very enraged and Katara cooled him down by reminding him her and Sokka are his family.,1,7,1,7,1,1,5.866,5.866,93.354,1,1,6,1,7,1,1,5.173,5.173,105.128,1,1,6,1,6,6,1,"I think Katara is very wise. In each scene she makes reasonable points that help others (mainly Hang), such as pointing out the acorns, reminding him to focus on learning water bending and calming him down by reminding him they're his family.",24,Female,,,,2,ANONYMIZED,ANONYMIZED,1
20/06/2021 00:39,20/06/2021 00:54,ANONYMIZED,ANONYMIZED,100,899,TRUE,20/06/2021 00:54,R_3eymMrb6UuMJy2K,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,6,4,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"Iroh is the best. He is wise, good hearted, and caring. He loves unconditionally and is forgiving. ",Katara is a strong and good hearted person. She cares deeply for everyone around her and is often the voice of reason. ,1.666,1.666,61.065,1,"Zuko saw a light from Aang and redirected the ship to it, while Iroh played a game by himself.",2,3,2,4,1,4,0,0,61.723,0,1,3,1,6,1,3,1.566,1.566,65.082,1,3,4,2,4,1,5,"In these scenes, Iroh could be considered wise and unwise. He wants Zuko to forget about hunting down Aang, but he does that in a way that appears to be unhelpful. In the entirety of the show, Iroh is probably the most wise character. ",NA,0,0,62.326,0,"Aang found out that he was the last known airbender and went into the avatar state, so Katara calmed him down.",1,7,1,7,1,1,0,0,73.542,0,1,6,1,7,2,1,0,0,75.173,0,3,7,4,5,6,3,Katara is wise is all three scenes. She knows that women should be able to waterbend and is able to calm Aang down in the last two by being a voice of reason for him. ,24,Female,,,,3,ANONYMIZED,ANONYMIZED,1
20/06/2021 01:53,20/06/2021 02:13,ANONYMIZED,ANONYMIZED,100,1193,TRUE,20/06/2021 02:13,R_efia8kXS1KCi5RT,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,6,5,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"He was definitely comic relief but also a mentor an guide for Zuko. His scene in the prison cell made him seem pretty wild/badass though, and he's had some of the best lore and episodes","She's very headstrong and serious. I remember when she was first learning, she was somewhat jealous of Aang for catching on water bending more so.",2.417,14.724,60.955,2,"Zuko is trying to reach the light, and Iroh is trying to help him by not getting his hopes up--he asks Zuko to join him for a calming cup of tea, and Zuko angrily declines.",3,4,2,4,4,4,1.399,85.013,85.507,4,4,1,1,4,1,7,2.218,2.218,104.241,1,2,2,1,4,1,3,"I recognize that he is wise in the first two based on the context of the lotus tile and Zuko's journey (and Iroh's well meaning nature), but as I don't remember the context for the second, I can't necessarily call him wise or unwise. Overall, I would call him wise based on his ability to think beyond battle and a singular goal, but also thinks of other people, and how he gets to a goal. He also aims to lead Zuko from being too far astray, too. Overall, because of the significance of tempering Zuko's anger, and also in the lotus tile scene (that secret group), I'd consider him wise.",1,2.274,21.337,60.593,3,"Aang activated his Avatar state because he found out the people from the temple were dead, and Katara was able to calm him down by reminding him that they were family now.",1,5,1,6,1,1,2.259,89.136,89.365,2,1,7,2,6,1,1,1.959,1.959,100.171,1,1,7,2,6,7,4,"I would definitely consider her wise. Even though she can be angry, she is also clearheaded and emotionally intelligent. She's also wise about the world around her, and can convince other people and achieve her and Aang's goals through that.",21,Female,,,,3,ANONYMIZED,ANONYMIZED,1
20/06/2021 02:31,20/06/2021 02:47,ANONYMIZED,ANONYMIZED,100,922,TRUE,20/06/2021 02:47,R_27v4RXT3k12qTYD,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,7,6,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"Balanced, at peace, loves tea (obviously lol), caring","Strong, loving, caring, does what she can for the best outcome for Aang",4.353,4.353,62.433,1,"Zuko saw the light from Aang breaking out of the iceberg, and attempts to send the ship towards it. Iroh tries to talk him down. Then, there is symbolism in Iroh playing a solitaire-like game; placing the tile with air nation insignia, with the wind blowing after.",1,3,1,7,1,1,1.898,47.077,76.418,2,5,2,1,3,1,6,5.392,57.84,74.223,2,4,4,1,5,1,5,"Iroh always has hidden wisdom, whether we see it or not. In many cases, this is not apparent or helpful to Zuko.",1,1.798,41.714,60.952,2,Katara was calming Aang down from the Avatar State after he found Monk Gyatso dead.,1,6,1,5,1,1,1.779,1.779,62.24,1,1,5,1,5,1,1,2.026,47.71,69.221,2,1,7,6,5,7,4,"Katara is wise. She knows how to help Aang manage his grief, and help him understand the new world he has woken into.",25,Male,,,,3,ANONYMIZED,ANONYMIZED,1
20/06/2021 03:07,20/06/2021 03:27,ANONYMIZED,ANONYMIZED,100,1236,TRUE,20/06/2021 03:27,R_3sp0ZZPFAEZYjyP,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,5,7,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"He's a very wise, older individual. He guides prince Zuko and is a father figure for him. He also enjoys tea a lot","She's a very caring person, looking after Aang and Sokka. She's also the most mature out of the three.",0.679,60.976,61.615,19,Prince Zuko is convinced he found the Avatar but uncle Iroh calms he's enthusiasm and continues to play his game,1,4,1,7,1,1,0.627,87.218,87.644,11,4,2,2,4,1,4,1.155,105.116,105.8,9,5,3,3,3,1,4,"While Iroh is a very wise individual, in those scenes he was acting unwise and a bit silly ",0,2.314,65.736,69.444,17,Aang was going into avatar state but Kara managed to calm him down,2,5,1,6,3,1,0.695,93.921,94.407,16,2,5,1,6,3,1,1.657,115.341,116.592,15,2,5,3,4,4,2,"I think Katara is wise. She may reacted a bit foolish in the first scene, but then reflected about it and put Aangs needs above hers.  ",19,Male,,,,3,ANONYMIZED,ANONYMIZED,1
20/06/2021 03:57,20/06/2021 04:15,ANONYMIZED,ANONYMIZED,100,1081,TRUE,20/06/2021 04:15,R_2fIIdyXH89uEKF0,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,8,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,Converts him to the side of good,I do not know the answer to this question.,,,9.81,10.411,61.457,2,,1,6,1,7,1,3,68.089,68.089,78.979,1,1,4,1,7,1,3,0,0,102.891,0,1,7,3,7,1,3,"wise. He is very calm, even if the other are not. He does what he likes and thinks it is better",1,0,0,61.224,0,avatar was sad because he was the last airbender,1,7,1,7,1,1,4.647,7.72,140.574,3,1,7,1,7,1,1,7.434,56.1,110.951,2,1,7,3,7,7,1,"Katara is wise. He helped the avatar feeling better for 2 occasions with her wiseness. He spoke very well to the master, as well.",21,Female,,no,I dont know,0,ANONYMIZED,ANONYMIZED,0
20/06/2021 04:05,20/06/2021 04:25,ANONYMIZED,ANONYMIZED,100,1229,TRUE,20/06/2021 04:25,R_1dg0uRwoaAmU32I,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,4,9,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",I do not know the answer to this question.,I do not know the answer to this question.,Destroy the world,"Definitely caring towards his nephew. Doesn't want to be violent, but if anything happens, he will do everything to protect","Caring, but stubborn. Sometimes interferes with your personal business",0,0,63.064,0,"Zuko discovers beam of light which probably signifies the last avatar. While Zuko impatient and anticipates to capture the last avatar, Iroh wants him to calm down and drink tea while playing his game.",3,4,4,4,3,4,0,0,85.991,0,4,3,4,2,2,6,0,0,103.759,0,4,3,4,3,3,5,"It depends if you determine if his actions could be look closer to be wise, but mostly in his scenes, he just wants to be peaceful and is very non-aggressive which could be considered as wise.",1,0,0,62.311,0,Katara convince Aang to chill out by saying that they're now his family after he discovered that his entire airbender family is gone.,2,4,1,5,2,1,0,0,93.977,0,3,5,2,5,4,3,0,0,102.922,0,4,4,4,4,5,4,"Katara is wise in her scenes. Despite not being able to water bend from a master, she does not want Aang to lose his chance to learn. She can be wise in very emotional situations.",23,Female,,,"To determine if the participants have any distinctive definition of the word ""wise"" using certain character's scenes.",2,ANONYMIZED,ANONYMIZED,1
20/06/2021 04:29,20/06/2021 04:55,ANONYMIZED,ANONYMIZED,100,1519,TRUE,20/06/2021 04:55,R_81YxYEvJjYzQa89,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,7,10,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"The best old wise man character in anything ever. I'm amazed that someone was able to take over after the death of his voice actor and sound nearly identical. Little soldier boy, comes marching home...","Somewhat naive at the start of the show. Good example of a strong female character that earns it through the story, rather than being a ""mary sue"".",0,0,84.005,0,"Zuko sees a light, Iroh tries to convince him it's nothing.",2,2,3,4,1,4,0,0,88.562,0,5,1,4,2,2,5,0,0,108.423,0,2,5,4,7,4,4,"Generally wise. Given his more recent stance on war and peace, not getting excited about possibly capturing the avatar makes sense. We learn later the lotus tile is much more important than Zuko knows. The only somewhat unwise one was the bath, since it led to him being captured.",1,0,0,70.161,0,,4,4,1,4,1,2,0,0,96.543,0,1,4,1,5,3,1,0,0,108.129,0,1,4,3,5,6,3,Wise. Not letting her own struggle getting in the way of what she recognizes as more important: training the avatar to save the world. Knowing what to say to aang.,25,Male,"Used ""his"" in reference to Katara. Funny that this showed up in the middle of rewatching the show with my grandmother.",,Something to do with sexism maybe?,3,ANONYMIZED,ANONYMIZED,0
