StartDate,EndDate,ANONYMIZED_1,ANONYMIZED_2,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ANONYMIZED_3,ANONYMIZED_4,ANONYMIZED_5,ANONYMIZED_6,ANONYMIZED_7,ANONYMIZED_8,DistributionChannel,UserLanguage,Q2_1,PID,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q80,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q47,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q81,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q75,Q83,Q85,Q72,Q73,Q82,SC0,ANONYMIZED_9,AttentionCheck
26/06/2021 20:12,26/06/2021 20:34,ANONYMIZED,ANONYMIZED,100,1326,TRUE,26/06/2021 20:34,R_3HZwcT7a1tfus6a,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,7,201,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"He is an older man, whose difficult life experiences have given him a wisdom and a perspective not often seen by firebenders.","She is a very powerful waterbender, but she deals with gender discrimination and abandonment issues.",0,0,67.417,0,Zuko and Iroh are discussing the light he just saw (the Avatar returning),1,6,1,7,1,1,0,0,95.177,0,3,5,3,4,1,3,0,0,110.933,0,2,5,2,7,2,2,"In the first two scenes, yes--he is working to calm Zuko and give him perspective. He appears less so in the final scene, although he is still trying to impress on Zuko the priorities of rest, relaxation, and focus.",0,0,68.489,0,Katara talked Aang out of the Avatar state and convinced him that all hope wasn't lost.,2,6,1,7,1,1,0,0,109.13,0,2,6,1,5,2,2,111.855,111.855,112.339,1,2,6,2,5,5,2,"Katara is wise in the first and last scenes because she uses her cleverness to convince Aang that he can do the job of Avatar. In the second scene she is less wise, because she becomes angry (playing into the Waterbending Master's prejudices). Later in the series we find her channeling her anger to much greater success. (Note: She had every right to be angry--that wasn't the issue.)",25,Male,,"Two minor details: On the free-response page, you called Katara ""Him"", which is not generally her preferred pronoun in the series. Second, I am 45, but the survey wouldn't go above 25--I wasn't screened out any earlier by Prolific or your instrument","I'm thinking it has to do with gender stereotypes regarding wisdom; do people perceive Katara as less wise when she loses her temper (I don't, exactly, but I think later in the series she would have approached that scene with her anger more in check).",3,ANONYMIZED,1
26/06/2021 21:07,26/06/2021 21:25,ANONYMIZED,ANONYMIZED,100,1092,TRUE,26/06/2021 21:25,R_27Vfq3tgHGVrIWd,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,202,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,0,0,68.461,0,"Iroh is playing a game and wants his nephew to sit and have a cup of calming jasmine tea, but the nephew is focused on finding the Avator.",1,7,1,7,1,1,0,0,110.053,0,1,5,1,7,3,5,0,0,108.721,0,1,7,1,7,1,1,"I know nothing of this show, but I see Iroh as a very wise man who shows his wisdom by remaining calm and giving the appearance of being unconcerned and slow, when in fact he is very wise and powerful.",0,0,62.929,0,,1,7,1,7,2,1,0,0,97.106,0,1,7,1,7,1,1,0,0,112.525,0,1,7,1,7,3,1,I feel she is wise. She gives good advice to the young Airbender and encourages him to continue studying even when she is rejected. She also recognized that the abundance of acorns foretold a growing forest.,25,Female,,none,How people interpret the actions of the characters.,0,ANONYMIZED,0
26/06/2021 21:27,26/06/2021 21:46,ANONYMIZED,ANONYMIZED,100,1149,TRUE,26/06/2021 21:46,R_ehV32om9SlkvNRL,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,203,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,62.704,62.704,64.47,1,There was an angry young man who wanted to follow a light to find the Avatar (Aung?). The old man (his uncle?) said that they had been down that road before and that the boy should come have some tea. The boy refused. ,2,4,3,5,2,3,0,0,90.745,0,4,2,3,2,2,6,0,0,107.021,0,4,3,3,3,2,4,"He is wise to the extent that he seems to be attempting to keep his nephew from finding Aung. Or perhaps he doesn't really care and can't be bothered. In which case, he at least is wise enough to keep them out of the way and avoid a fight. ",8.614,8.614,67.849,1,The bald boy with the arrow on his head (Aung?) was apparently very upset and his powers were getting away from him. Katara and her brother(?) were there and told him that they were his family and that they would help him. ,1,6,1,6,1,1,6.446,6.446,96.683,1,1,5,1,6,2,1,13.966,13.966,114.739,1,3,6,2,6,4,2,Katara is wise. She was able to advise Aung to keep training even though she was angry with the trainer. She was able to talk him out of his anger after the deaths of his family(?). Then she was wise to realise that the trees would grow again. ,25,Male,,no issues,i have no idea... ,0,ANONYMIZED,1
26/06/2021 21:33,26/06/2021 21:55,ANONYMIZED,ANONYMIZED,100,1297,TRUE,26/06/2021 21:55,R_pzSn5oq0KQlvtrr,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,204,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,0.691,74.025,75.069,3,Iroh being calm while his nephew being irate.,3,4,3,4,2,4,11.816,104.811,106.467,6,5,4,3,3,2,6,1.51,109.013,112.442,4,5,3,3,4,3,4,Depends.  Wise in that he appreciates life and takes his time.  Unwise because he takes everything in stride. Sometimes you need to put your legsbin gear and move on tonthe work at hand.,3.084,65.705,66.778,5,Katara and her friend protecting the other one. Telling them they are family.,2,4,2,5,2,3,9.078,124.252,125.556,5,2,5,2,6,3,2,8.061,133.823,134.709,7,4,6,4,6,5,3,I would say wise.  She gave good advice in all three scenes.  She was kind and made the best decision posdible. Chose her words wisely,25,Male,,,,0,ANONYMIZED,1
26/06/2021 21:46,26/06/2021 22:09,ANONYMIZED,ANONYMIZED,100,1362,TRUE,26/06/2021 22:09,R_6WgHnQJIJHSxuUN,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,4,205,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,A tropical archipelago and a swamp,I do not know the answer to this question.,I do not know the answer to this question.,,,9.335,17.708,72.542,8,Iron playing a game on a table and a young man is upset because he wants to fight,1,5,2,6,2,1,1.227,5.927,86.36,4,3,5,2,5,2,2,2.579,100.994,108.3,8,1,5,3,6,2,2,I found Iron to be very wise and patient. He was trying to teach the kid patience and understanding,3.239,16.492,62.45,4,Katara had to talk the little boy down from his angry state,1,6,1,7,1,1,0.631,5.733,91.298,4,1,7,1,7,1,1,0.822,59.141,102.086,9,1,7,1,7,4,1,Katara is very wise and has a lot of patience. She is smart and a fighter,25,Female,"I wasn't able to completely age, I am 52 not 25, I had to answer with a wrong answer","Yes with my age question, would not let me put my correct age",I really don't know,1,ANONYMIZED,1
26/06/2021 21:55,26/06/2021 22:27,ANONYMIZED,ANONYMIZED,100,1880,TRUE,26/06/2021 22:27,R_UxYPIanRLVxR1IZ,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,206,Mai,Zuko and Azula,"They are reincarnated from the previous Avatar, cycling between Nations over time.",I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,3.578,61.749,62.256,6,"Wanted to eat, and go to the light.",2,3,3,4,2,5,1.668,95.348,95.923,10,2,4,3,4,2,5,10.376,116.172,117.888,6,2,4,2,4,2,5,I believe he's wise and lazy. But helpful in the least ,3.338,61.138,64.209,15,How he is the last Airbender ,2,5,3,4,2,2,5.451,761.963,792.853,11,3,6,2,4,2,4,1.682,103.93,104.438,9,3,7,5,4,3,4,"Both wise and unwise,  she should learn as a healer then learn to fight",25,Female,,,,1,ANONYMIZED,1
26/06/2021 22:08,26/06/2021 22:31,ANONYMIZED,ANONYMIZED,100,1405,TRUE,26/06/2021 22:31,R_swlNf777BPJhpTj,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,6,207,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,I do not know the answer to this question.,Enhance the power of fire bending,,Very caring and kind of mother like but also wants to be a fighter despite the tribes rules,6.819,85.66,86.33,8,Prince zuko is trying to kill the Avatar and suspects he is the source of a beam of light,2,3,2,7,2,7,8.86,116.5,134.065,9,2,3,1,6,2,5,3.677,21.144,137.596,8,1,3,1,7,1,5,Wise because he is trying to teach Zuko patience and that what is after may not be for the best,1.136,74.987,76.246,6,Katata calmed down Aang after discovering the fire nation destroyed his home,2,5,1,7,4,1,1.344,107.848,109.067,7,2,7,1,7,4,1,2.084,79.439,80.266,10,3,7,3,6,6,2,Wise because she makes Aang feel safe and gives him confidence,43,Male,,None,Not sure,2,ANONYMIZED,1
26/06/2021 22:48,26/06/2021 23:16,ANONYMIZED,ANONYMIZED,100,1683,TRUE,26/06/2021 23:16,R_3JmyifjgGnHqhp6,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,208,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,0,0,64.143,0,Main character is hellbent on finding the source of a light in the sky.  Old uncle is trying to finish a game.,4,3,4,4,3,4,0,0,103.633,0,6,2,5,2,2,6,0,0,137.692,0,4,4,4,5,2,4,"He is wise.  He's able to manipulate his nephew, who seems to be in charge.  I don't know if Iroh has bad intentions, or if he only wants to relax and avoid conflict.  I'm not familiar with the show.",0,0,68.469,0,Katara talks down a young man out of control.,1,7,1,7,1,1,0,0,101.027,0,2,6,2,6,2,1,0,0,131.328,0,4,7,4,4,6,4,"I'm not familiar with the show, but I can tell that Katara is wise,  From the three scenes I have seen, she seems to have benevolent motives, but I could be wrong.",41,Male,,,,0,ANONYMIZED,1
26/06/2021 22:47,26/06/2021 23:18,ANONYMIZED,ANONYMIZED,100,1854,TRUE,26/06/2021 23:18,R_2qrOhJSiwtJ4Jk2,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,209,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,17.09,77.185,78.53,2,"Two men are on a boat. There is a younger man and an older man (Iroh). The younger man thinks that the light he sees will lead him to something he wants. Iroh, who is playing a game, tells him not to get excited.",2,4,3,6,1,3,7.418,97.084,98.656,2,2,3,1,5,1,3,6.509,111.751,112.781,2,2,4,1,6,1,3,I interpreted the scenes to suggest that Iroh is being wise and strategic in his actions. He keeps deflecting his nephew's anger and seemingly violent objectives by seeming lazy and foolish. This achieves Iroh's apparent aim while avoiding a confrontation.,4.093,67.004,68.737,2,"The Airbender appears to be in some kind of rage which is disrupting the environment around him so Katara, who is taking cover, seeks to calm and console him.",1,7,1,7,1,1,6.329,100.421,101.496,3,1,6,1,7,1,1,6.757,111.708,112.589,2,1,7,3,6,6,1,Katara is wise in the three scenes. She has faith in her friend and finds ways to support him to be his best. She is able to find the right words to motivate her friend to do the right thing regardless of her own feelings or interests.,48,Female,,,,0,ANONYMIZED,1
26/06/2021 23:09,26/06/2021 23:40,ANONYMIZED,ANONYMIZED,100,1911,TRUE,26/06/2021 23:40,R_29sFHfh1FxCwkYW,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,5,210,Aang,Katara and Sokka,"They are reincarnated from the previous Avatar, cycling between Nations over time.",The south and north poles,Takes away his bending,Enhance the power of fire bending,"I believe Iroh was the uncle of Zuko, and he was very wise. He had a great sense of humor and was very carefree, but at the same time he was quite responsible. His character was one of mine and my children's favorites.","From what I remember, she was somewhat stubborn, pushy, and emotional but also very caring. She was somewhat powerful too. I was not the biggest fan. ",4.672,4.672,61.111,1,"Zuko is anxious about the indication of the Avatar's presence, while Iroh calmly enjoys his game and invites Zuko to join him over tea.",1,3,3,4,1,3,0,0,90.966,0,3,2,4,4,1,4,4.343,4.343,106.874,1,2,5,4,5,2,3,"I would say his actions are wise. His calm, free-spirited demeanor is helpful for controlling Zuko's emotion and helpful for making level-headed decisions. Also, that lotus tile he was searching for grants access to some sort of special club of warriors if I'm not mistaken, so it was indeed a wise move on Iroh's part. ",2.402,2.402,60.848,1,"Aang was in some sort of angry airbender state (forgot terminology), and Katara talked him down compassionately.",2,6,1,6,1,1,3.166,3.166,95.141,1,2,4,3,5,2,2,2.716,2.716,104.424,1,6,6,5,2,7,5,"Based on these three scenes I would consider her wise. She shows strong emotional intelligence, and works hard to be helpful to those around her. However, I do believe the disrespectful manner she addressed the waterbending master in was unwise.",65,Male,none,none,I would guess this is a study on biases towards characters based on prior experience watching the show versus no prior viewing experience. ,3,ANONYMIZED,1
